31 426
AAV Surallah Allah Valley 
ACE Lanzarote 
ABW Abau 
ABP Atkamba 
ADC Andakombe 
ACZ Zabol 
AAH Aachen Merzbrueck 
ABH Alpha 
AAF Apalachicola Regional 
ABC Albacete Airport 
ABK Kabri Dar 
ACM Arica 
AAZ Quetzaltenango 
ABF Abaiang 
AAB Arrabury 
AAY Al Ghaydah 
ABG Abingdon Downs 
AAQ Anapa 
ACI Alderney 
AAP Samarinda Ap Tumenggung 
ADY Alldays 
ABT Al Baha Al-Aqiq 
ADO Andamooka 
ADI Arandis 
ADX St Andrews Raf Leuchars 
ADJ Amman Marka Intl Airport 
ABN Albina 
ADF Adiyaman 
ABX Albury 
AAD Adado 
ADN Andes 
AAP ADJ
ABW ACM
ABP ADC
AAD AAB
ABF ABW
ABC ADI
AAP AAH
AAH ABC
AAV AAD
AAY ABC
AAZ ADF
ACM ADX
ACZ ACE
AAV ACI
ABW ABP
ABX ABN
AAZ ACE
ACM ABT
ACZ ABG
ABX ABH
ABH ABN
ADI ADN
ADX ABP
ADN ABF
ADX AAD
AAF ABG
ABK ADN
ACZ ADX
ABX ADY
ABG ADF
AAP ADI
AAV ABH
ABK ADX
ACZ ABC
ADI ADO
AAY ACM
ABT ABK
ABC AAV
AAP AAY
ADY ABC
ADJ AAQ
ACE AAF
ADO ADN
AAV AAP
ACE ABP
AAB ABT
AAY ABX
AAF ADX
AAP AAQ
ADC ACI
ABP ACM
ABW ABK
ABG ABK
AAZ ACZ
ABW ABC
ABH ADY
AAF ABF
ABK AAQ
AAD ABC
ADO ADF
ADI AAH
ABW ACE
ABN ABT
ABH AAB
ABH ADI
ABC ADJ
ADC AAQ
ACI ADO
ABC ADN
ABG ABT
ADF ABG
ABG ABN
ABF AAF
AAF ABW
AAD ADY
AAQ ADO
ABP AAB
ADN ADC
AAY ADX
AAF ABK
ABW ADI
AAP ACI
ABT AAF
ADI AAV
ABW ADX
ABK ABP
ABH AAQ
ADY ADF
ACZ ADI
AAB ABH
ABF ACI
ADF ACZ
ABC ABP
ADO ABT
AAZ ACM
ADX AAQ
ABG ACZ
ABC AAH
